"TipoCAPES","TipoSJR","Pesos","Maximo"
"C","ArtigoSEMDOI",15,300
"B4","ArtigoCOMDOI",20,
"B3","ArtigoP1",25,
"B2","ArtigoP2",40,
"B1","ArtigoP3",55,
"A4","ArtigoP4",70,
"A3","ArtigoP5",85,
"A2","ArtigoP6",100,
"A1","ArtigoP7",115,
