"ISSN";"Titulo";"Area";"Estrato"
"1480-8986";"INTERNATIONAL JOURNAL OF ARTS MANAGEMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1757-8760";"INTERNATIONAL JOURNAL OF AUDITING TECHNOLOGY";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1470-9511";"INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY AND MANAGEMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"1741-5012";"INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY AND MANAGEMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"0265-2323";"INTERNATIONAL JOURNAL OF BANK MARKETING";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1070-5503";"INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"1755-3547";"INTERNATIONAL JOURNAL OF BEHAVIOURAL AND HEALTHCARE RESEARCH (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"2057-0546";"INTERNATIONAL JOURNAL OF BIBLIOMETRICS IN BUSINESS AND MANAGEMENT (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"2764-1813";"INTERNATIONAL JOURNAL OF BIOLOGICAL AND NATURAL SCIENCES";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"0141-8130";"INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1432-1254";"INTERNATIONAL JOURNAL OF BIOMETEOROLOGY";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"2398-4708";"INTERNATIONAL JOURNAL OF BUILDING PATHOLOGY AND ADAPTATION";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"2694-1430";"INTERNATIONAL JOURNAL OF BUSINESS & MANAGEMENT STUDIES";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1923-4015";"INTERNATIONAL JOURNAL OF BUSINESS ADMINISTRATION";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"2334-4555";"INTERNATIONAL JOURNAL OF BUSINESS ANALYTICS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"2334-4547";"INTERNATIONAL JOURNAL OF BUSINESS ANALYTICS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"2241-4754";"INTERNATIONAL JOURNAL OF BUSINESS AND ECONOMICS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"1753-6227";"INTERNATIONAL JOURNAL OF BUSINESS AND EMERGING MARKETS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"1753-3627";"INTERNATIONAL JOURNAL OF BUSINESS AND GLOBALISATION";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"1833-3850";"INTERNATIONAL JOURNAL OF BUSINESS AND MANAGEMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1833-8119";"INTERNATIONAL JOURNAL OF BUSINESS AND MANAGEMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"2319-8028";"INTERNATIONAL JOURNAL OF BUSINESS AND MANAGEMENT INVENTION (IJBMI)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"1751-200X";"INTERNATIONAL JOURNAL OF BUSINESS AND SYSTEMS RESEARCH";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"2312-0916";"INTERNATIONAL JOURNAL OF BUSINESS, ECONOMICS AND MANAGEMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1740-0589";"INTERNATIONAL JOURNAL OF BUSINESS ENVIRONMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"1740-0597";"INTERNATIONAL JOURNAL OF BUSINESS ENVIRONMENT (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"1756-0047";"INTERNATIONAL JOURNAL OF BUSINESS EXCELLENCE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1756-0055";"INTERNATIONAL JOURNAL OF BUSINESS EXCELLENCE (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1744-6635";"INTERNATIONAL JOURNAL OF BUSINESS FORECASTING AND MARKETING INTELLIGENCE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1746-0980";"INTERNATIONAL JOURNAL OF BUSINESS INFORMATION SYSTEMS (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1746-0972";"INTERNATIONAL JOURNAL OF BUSINESS INFORMATION SYSTEMS (PRINT)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1751-0252";"INTERNATIONAL JOURNAL OF BUSINESS INNOVATION AND RESEARCH";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1751-0260";"INTERNATIONAL JOURNAL OF BUSINESS INNOVATION AND RESEARCH (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"2795-5036";"INTERNATIONAL JOURNAL OF BUSINESS INNOVATION (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1743-8187";"INTERNATIONAL JOURNAL OF BUSINESS INTELLIGENCE AND DATA MINING";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"2447-7451";"INTERNATIONAL JOURNAL OF BUSINESS MARKETING";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"2456-4559";"INTERNATIONAL JOURNAL OF BUSINESS MARKETING AND MANAGEMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"1368-4892";"INTERNATIONAL JOURNAL OF BUSINESS PERFORMANCE MANAGEMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"1741-8763";"INTERNATIONAL JOURNAL OF BUSINESS PROCESS INTEGRATION AND MANAGEMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1741-8771";"INTERNATIONAL JOURNAL OF BUSINESS PROCESS INTEGRATION AND MANAGEMENT (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"2772-4875";"INTERNATIONAL JOURNAL OF CARDIOLOGY CARDIOVASCULAR RISK AND PREVENTION";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"2359-4802";"INTERNATIONAL JOURNAL OF CARDIOVASCULAR SCIENCES (PRINT)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1911-2599";"INTERNATIONAL JOURNAL OF CASE STUDIES IN MANAGEMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1742-1241";"INTERNATIONAL JOURNAL OF CLINICAL PRACTICE (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1325-9547";"INTERNATIONAL JOURNAL OF COMMUNITY CURRENCY RESEARCH";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1875-6883";"INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1757-2665";"INTERNATIONAL JOURNAL OF COMPUTER AIDED ENGINEERING AND TECHNOLOGY (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"0975-8887";"INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"0952-8091";"INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"1470-6431";"INTERNATIONAL JOURNAL OF CONSUMER STUDIES";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1470-6423";"INTERNATIONAL JOURNAL OF CONSUMER STUDIES";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"0959-6119";"INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1754-3037";"INTERNATIONAL JOURNAL OF CORPORATE GOVERNANCE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1470-5958";"INTERNATIONAL JOURNAL OF CROSS CULTURAL MANAGEMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1364-727X";"INTERNATIONAL JOURNAL OF DAIRY TECHNOLOGY (PRINT)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"2053-082X";"INTERNATIONAL JOURNAL OF DATA SCIENCE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1941-6296";"INTERNATIONAL JOURNAL OF DECISION SUPPORT SYSTEM TECHNOLOGY";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1446-8956";"INTERNATIONAL JOURNAL OF DEVELOPMENT ISSUES";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"2230-9926";"INTERNATIONAL JOURNAL OF DEVELOPMENT RESEARCH";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"2047-3869";"INTERNATIONAL JOURNAL OF DEVELOPMENTAL DISABILITIES";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"2212-4209";"INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1741-3591";"INTERNATIONAL JOURNAL OF DISCLOSURE AND GOVERNANCE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1358-2291";"INTERNATIONAL JOURNAL OF DISCRIMINATION AND THE LAW";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1548-1131";"INTERNATIONAL JOURNAL OF E-BUSINESS RESEARCH";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"1752-0452";"INTERNATIONAL JOURNAL OF ECONOMIC POLICY IN EMERGING ECONOMIES";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"2041-868X";"INTERNATIONAL JOURNAL OF ECONOMICS AND ACCOUNTING (PRINT)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1756-9869";"INTERNATIONAL JOURNAL OF ECONOMICS AND BUSINESS RESEARCH";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"1756-9850";"INTERNATIONAL JOURNAL OF ECONOMICS AND BUSINESS RESEARCH";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"1916-971X";"INTERNATIONAL JOURNAL OF ECONOMICS AND FINANCE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"1916-9728";"INTERNATIONAL JOURNAL OF ECONOMICS AND FINANCE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"2225-742X";"INTERNATIONAL JOURNAL OF ECONOMICS AND MANAGEMENT ENGINEERING";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1948-5476";"INTERNATIONAL JOURNAL OF EDUCATION";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"2411-5681";"INTERNATIONAL JOURNAL OF EDUCATION AND RESEARCH";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"0251-2513";"INTERNATIONAL JOURNAL OF EDUCATIONAL AND VOCATIONAL GUIDANCE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0738-0593";"INTERNATIONAL JOURNAL OF EDUCATIONAL DEVELOPMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"0951-354X";"INTERNATIONAL JOURNAL OF EDUCATIONAL MANAGEMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0142-0615";"INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1742-7509";"INTERNATIONAL JOURNAL OF ELECTRONIC GOVERNANCE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1548-3886";"INTERNATIONAL JOURNAL OF ELECTRONIC GOVERNMENT RESEARCH";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"1746-8809";"INTERNATIONAL JOURNAL OF EMERGING MARKETS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"2073-7629";"INTERNATIONAL JOURNAL OF EMOTIONAL EDUCATION (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"2146-4553";"INTERNATIONAL JOURNAL OF ENERGY ECONOMICS AND POLICY";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1099-114X";"INTERNATIONAL JOURNAL OF ENERGY RESEARCH";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"0363-907X";"INTERNATIONAL JOURNAL OF ENERGY RESEARCH (PRINT)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"1750-6220";"INTERNATIONAL JOURNAL OF ENERGY SECTOR MANAGEMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0949-149X";"INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"1748-1260";"INTERNATIONAL JOURNAL OF ENTERPRISE NETWORK MANAGEMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"1355-2554";"INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1742-5379";"INTERNATIONAL JOURNAL OF ENTREPRENEURIAL VENTURING";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"1939-4675";"INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"1099-9264";"INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"1741-5098";"INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND INNOVATION MANAGEMENT (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"1476-1297";"INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND SMALL BUSINESS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1474-6778";"INTERNATIONAL JOURNAL OF ENVIRONMENT AND SUSTAINABLE DEVELOPMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"1478-9868";"INTERNATIONAL JOURNAL OF ENVIRONMENT AND WASTE MANAGEMENT (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1478-9876";"INTERNATIONAL JOURNAL OF ENVIRONMENT AND WASTE MANAGEMENT (PRINT)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"0306-7319";"INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY (PRINT)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0960-3123";"INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH (PRINT)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"2398-2640";"INTERNATIONAL JOURNAL OF ENVIRONMENTAL IMPACTS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"2381-7259";"INTERNATIONAL JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"1660-4601";"INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"2675-3456";"INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESILIENCE RESEARCH AND SCIENCE (IJERRS)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1735-2630";"INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0020-7233";"INTERNATIONAL JOURNAL OF ENVIRONMENTAL STUDIES";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"0300-5771";"INTERNATIONAL JOURNAL OF EPIDEMIOLOGY";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"2514-9369";"INTERNATIONAL JOURNAL OF ETHICS AND SYSTEMS (PRINT)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1758-2954";"INTERNATIONAL JOURNAL OF EVENT AND FESTIVAL MANAGEMENT (PRINT)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"2147-4486";"INTERNATIONAL JOURNAL OF FINANCE & BANKING STUDIES";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"1076-9307";"INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1099-1158";"INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"2055-6799";"INTERNATIONAL JOURNAL OF FINANCIAL INNOVATION IN BANKING";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1756-7130";"INTERNATIONAL JOURNAL OF FINANCIAL MARKETS AND DERIVATIVES";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"2227-7072";"INTERNATIONAL JOURNAL OF FINANCIAL STUDIES";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"2147-8988";"INTERNATIONAL JOURNAL OF FOOD AND AGRICULTURAL ECONOMICS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"1365-2621";"INTERNATIONAL JOURNAL OF FOOD SCIENCE & TECHNOLOGY (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0950-5423";"INTERNATIONAL JOURNAL OF FOOD SCIENCE & TECHNOLOGY (PRINT)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0169-2070";"INTERNATIONAL JOURNAL OF FORECASTING";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1562-2479";"INTERNATIONAL JOURNAL OF FUZZY SYSTEMS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1878-450X";"INTERNATIONAL JOURNAL OF GASTRONOMY AND FOOD SCIENCE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1756-6266";"INTERNATIONAL JOURNAL OF GENDER AND ENTREPRENEURSHIP";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"2577-4441";"INTERNATIONAL JOURNAL OF GEOHERITAGE AND PARKS (PRINT)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1532-3641";"INTERNATIONAL JOURNAL OF GEOMECHANICS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"2675-2883";"INTERNATIONAL JOURNAL OF GEOSCIENCE, ENGINEERING AND TECHNOLOGY";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1945-1792";"INTERNATIONAL JOURNAL OF GLOBAL BUSINESS (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1466-6650";"INTERNATIONAL JOURNAL OF GLOBAL ENVIRONMENTAL ISSUES";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1741-5136";"INTERNATIONAL JOURNAL OF GLOBAL ENVIRONMENTAL ISSUES (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1758-2083";"INTERNATIONAL JOURNAL OF GLOBAL WARMING";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"1758-2091";"INTERNATIONAL JOURNAL OF GLOBAL WARMING (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"1479-3067";"INTERNATIONAL JOURNAL OF GLOBALISATION AND SMALL BUSINESS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
