"ISSN";"Titulo";"Area";"Estrato"
"2159-4260";"ACCOUNTING AND BUSINESS RESEARCH";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1467-629X";"ACCOUNTING AND FINANCE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"0810-5391";"ACCOUNTING AND FINANCE (PARKVILLE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1927-5994";"ACCOUNTING AND FINANCE RESEARCH";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"2795-4412";"ACCOUNTING AND MANAGEMENT REVIEW";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"0951-3574";"ACCOUNTING, AUDITING & ACCOUNTABILITY JOURNAL";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"0963-9284";"ACCOUNTING EDUCATION";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1467-6303";"ACCOUNTING FORUM";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"0155-9982";"ACCOUNTING FORUM (ADELAIDE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"0361-3682";"ACCOUNTING, ORGANIZATIONS AND SOCIETY";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1030-9616";"ACCOUNTING RESEARCH JOURNAL";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"0949-1775";"ACCREDITATION AND QUALITY ASSURANCE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"2358-5587";"ACENO - REVISTA DE ANTROPOLOGIA DO CENTRO-OESTE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"2237-8723";"ACERVO: REVISTA DO ARQUIVO NACIONAL";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1936-7228";"ACM TRANSACTIONS ON ACCESSIBLE COMPUTING (TACCESS)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"2578-5745";"ACR OPEN RHEUMATOLOGY";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"2155-5435";"ACS CATALYSIS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"2373-8227";"ACS INFECTIOUS DISEASES";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0120-2812";"ACTA AGRONOMICA";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1809-4392";"ACTA AMAZONICA";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"2175-1552";"ACTA AMBIENTAL CATARINENSE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"2358-2375";"ACTA APICOLA BRASILICA";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1677-941X";"ACTA BOTANICA BRASILICA";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1980-5772";"ACTA GEOGRÁFICA (UFRR)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0065-1281";"ACTA HISTOCHEMICA (PRINT)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"2179-975X";"ACTA LIMNOLOGICA BRASILIENSIA (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1146-609X";"ACTA OECOLOGICA (MONTROUGE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"1982-0194";"ACTA PAUL DE ENFERM";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0103-2100";"ACTA PAULISTA DE ENFERMAGEM";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"2317-8957";"ACTA SCIENTIAE ET TECHNICAE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1517-4492";"ACTA SCIENTIAE (ULBRA)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1679-9216";"ACTA SCIENTIAE VETERINARIAE (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1807-8621";"ACTA SCIENTIARUM. AGRONOMY (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"1807-8672";"ACTA SCIENTIARUM. ANIMAL SCIENCES";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"1807-863X";"ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"2178-5201";"ACTA SCIENTIARUM. EDUCATION (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1807-8648";"ACTA SCIENTIARUM. HEALTH SCIENCES (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1807-8656";"ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1679-7361";"ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES (IMPRESSO)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1806-2563";"ACTA SCIENTIARUM. TECHNOLOGY (IMPRESSO)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"1807-8664";"ACTA SCIENTIARUM. TECHNOLOGY (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"2582-3183";"ACTA SCIENTIFIC VETERINARY SCIENCES";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"1221-5872";"ACTA TECHNICA NAPOCENSIS. SERIES APPLIED MATHEMATICS AND MECHANICS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1982-422X";"ACTA TECNOLÓGICA";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"0001-706X";"ACTA TROPICA";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1981-5484";"ACTA VETERINARIA BRASILICA";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"2525-8923";"ACTIO: DOCÊNCIA EM CIÊNCIAS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1409-4703";"ACTUALIDADES INVESTIGATIVAS EN EDUCACIÓN";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1369-1600";"ADDICTION BIOLOGY (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"2745-1364";"AD-GNOSIS (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1518-9929";"ADM. MADE (UNIVERSIDADE ESTÁCIO DE SÁ)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1982-7938";"ADMINISTRAÇÃO";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1676-9457";"ADMINISTRAÇÃO DE EMPRESAS EM REVISTA";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"2316-7548";"ADMINISTRAÇÃO DE EMPRESAS EM REVISTA";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"2177-6083";"ADMINISTRAÇÃO: ENSINO E PESQUISA";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"2358-0917";"ADMINISTRAÇÃO: ENSINO E PESQUISA (RAEP)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"2175-5787";"ADMINISTRAÇÃO PÚBLICA E GESTÃO SOCIAL";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"1583-9583";"ADMINISTRATIE SI MANAGEMENT PUBLIC";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1015-4833";"ADMINISTRATIO PUBLICA";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"0095-3997";"ADMINISTRATION & SOCIETY";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"2076-3387";"ADMINISTRATIVE SCIENCES";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"1084-1806";"ADMINISTRATIVE THEORY & PRAXIS";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"2237-5139";"ADM.MADE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"0882-6110";"ADVANCES IN ACCOUNTING";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"2156-8456";"ADVANCES IN BIOSCIENCE AND BIOTECHNOLOGY (IMPRESSO)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"0098-9258";"ADVANCES IN CONSUMER RESEARCH";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
